county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
Napa,09/24/20,3.0,2.0,5.0,359.0,3.0,0.0,20.0
Santa Clara,09/24/20,111.0,10.0,121.0,3021.0,35.0,0.0,96.0
Imperial,09/24/20,28.0,0.0,28.0,259.0,8.0,0.0,4.0
Monterey,09/24/20,28.0,0.0,28.0,702.0,10.0,0.0,31.0
Contra Costa,09/24/20,39.0,20.0,59.0,1505.0,14.0,3.0,40.0
Mendocino,09/24/20,8.0,0.0,8.0,150.0,2.0,0.0,4.0
Calaveras,09/24/20,0.0,0.0,0.0,33.0,0.0,0.0,5.0
Nevada,09/24/20,2.0,1.0,3.0,131.0,0.0,1.0,2.0
Amador,09/24/20,1.0,0.0,1.0,51.0,0.0,0.0,3.0
Kern,09/24/20,72.0,2.0,74.0,1339.0,21.0,0.0,59.0
Yuba,09/24/20,12.0,0.0,12.0,265.0,2.0,0.0,12.0
Trinity,09/24/20,0.0,0.0,0.0,25.0,0.0,0.0,0.0
Los Angeles,09/24/20,715.0,319.0,1034.0,20052.0,207.0,66.0,949.0
Mariposa,09/24/20,0.0,0.0,0.0,19.0,0.0,0.0,0.0
Glenn,09/24/20,0.0,0.0,0.0,47.0,0.0,0.0,0.0
San Diego,09/24/20,196.0,45.0,241.0,6629.0,65.0,8.0,300.0
San Joaquin,09/24/20,49.0,7.0,56.0,1003.0,20.0,2.0,44.0
Merced,09/24/20,11.0,0.0,11.0,253.0,5.0,0.0,14.0
Ventura,09/24/20,44.0,23.0,67.0,1266.0,16.0,6.0,56.0
Solano,09/24/20,24.0,24.0,48.0,513.0,3.0,0.0,6.0
Shasta,09/24/20,5.0,0.0,5.0,561.0,2.0,0.0,7.0
Modoc,09/24/20,0.0,0.0,0.0,41.0,0.0,0.0,0.0
San Luis Obispo,09/24/20,3.0,1.0,4.0,451.0,1.0,0.0,29.0
Placer,09/24/20,30.0,30.0,60.0,755.0,12.0,2.0,29.0
Siskiyou,09/24/20,1.0,0.0,1.0,56.0,0.0,0.0,7.0
Marin,09/24/20,5.0,3.0,8.0,324.0,4.0,1.0,12.0
Stanislaus,09/24/20,82.0,32.0,114.0,1324.0,26.0,5.0,21.0
Santa Barbara,09/24/20,23.0,4.0,27.0,666.0,5.0,0.0,50.0
Plumas,09/24/20,0.0,0.0,0.0,35.0,0.0,0.0,0.0
San Bernardino,09/24/20,152.0,42.0,194.0,3841.0,50.0,8.0,153.0
San Francisco,09/24/20,60.0,9.0,69.0,1898.0,16.0,5.0,49.0
Sacramento,09/25/20,134.0,28.0,162.0,2479.0,31.0,3.0,74.0
Tehama,09/25/20,5.0,0.0,5.0,59.0,1.0,0.0,2.0
Mono,09/25/20,0.0,0.0,0.0,17.0,0.0,0.0,2.0
San Benito,09/25/20,2.0,0.0,2.0,25.0,1.0,0.0,0.0
Nevada,09/25/20,2.0,1.0,3.0,130.0,0.0,1.0,5.0
Napa,09/25/20,3.0,2.0,5.0,359.0,3.0,0.0,18.0
Mendocino,09/25/20,9.0,0.0,9.0,150.0,2.0,0.0,5.0
Tuolumne,09/25/20,0.0,0.0,0.0,84.0,0.0,0.0,4.0
Inyo,09/25/20,0.0,0.0,0.0,29.0,0.0,0.0,4.0
Sonoma,09/25/20,18.0,8.0,26.0,592.0,6.0,3.0,5.0
Santa Clara,09/25/20,108.0,12.0,120.0,2999.0,38.0,1.0,100.0
Madera,09/25/20,13.0,19.0,32.0,263.0,4.0,0.0,19.0
Yolo,09/25/20,3.0,0.0,3.0,96.0,2.0,0.0,5.0
Shasta,09/25/20,6.0,0.0,6.0,561.0,2.0,0.0,11.0
Humboldt,09/25/20,5.0,0.0,5.0,272.0,1.0,0.0,2.0
Santa Barbara,09/25/20,24.0,4.0,28.0,666.0,6.0,0.0,49.0
Monterey,09/25/20,28.0,0.0,28.0,702.0,11.0,0.0,28.0
Stanislaus,09/25/20,76.0,28.0,104.0,1313.0,24.0,3.0,20.0
Calaveras,09/25/20,0.0,0.0,0.0,33.0,0.0,0.0,5.0
Trinity,09/25/20,0.0,0.0,0.0,25.0,0.0,0.0,0.0
Mariposa,09/25/20,0.0,0.0,0.0,19.0,0.0,0.0,0.0
Riverside,09/25/20,129.0,67.0,196.0,3395.0,36.0,9.0,106.0
San Diego,09/25/20,196.0,39.0,235.0,6728.0,71.0,4.0,307.0
Ventura,09/25/20,44.0,22.0,66.0,1268.0,16.0,6.0,53.0
San Francisco,09/25/20,61.0,11.0,72.0,1870.0,20.0,5.0,56.0
Kern,09/25/20,70.0,2.0,72.0,1334.0,20.0,0.0,57.0
Fresno,09/25/20,78.0,23.0,101.0,1566.0,20.0,1.0,20.0
Lake,09/25/20,0.0,2.0,2.0,65.0,0.0,1.0,2.0
Santa Cruz,09/25/20,20.0,0.0,20.0,376.0,5.0,0.0,13.0
Sutter,09/25/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Modoc,09/25/20,0.0,0.0,0.0,41.0,0.0,0.0,0.0
Plumas,09/25/20,0.0,0.0,0.0,35.0,0.0,0.0,0.0
San Bernardino,09/25/20,148.0,50.0,198.0,3858.0,47.0,6.0,150.0
Placer,09/25/20,25.0,20.0,45.0,752.0,11.0,2.0,34.0
Solano,09/25/20,18.0,15.0,33.0,549.0,4.0,1.0,8.0
Tulare,09/25/20,36.0,9.0,45.0,677.0,7.0,0.0,14.0
Contra Costa,09/25/20,30.0,19.0,49.0,1502.0,13.0,3.0,54.0
San Luis Obispo,09/25/20,3.0,0.0,3.0,451.0,1.0,0.0,31.0
Merced,09/25/20,10.0,0.0,10.0,253.0,4.0,0.0,15.0
Amador,09/25/20,0.0,0.0,0.0,51.0,0.0,0.0,2.0
Lassen,09/25/20,0.0,0.0,0.0,25.0,0.0,0.0,0.0
Siskiyou,09/25/20,1.0,0.0,1.0,56.0,0.0,0.0,8.0
Imperial,09/25/20,25.0,0.0,25.0,259.0,9.0,0.0,9.0
Colusa,09/25/20,1.0,0.0,1.0,48.0,0.0,0.0,0.0
San Joaquin,09/25/20,44.0,8.0,52.0,1007.0,19.0,1.0,52.0
Kings,09/25/20,13.0,0.0,13.0,193.0,1.0,0.0,14.0
Del Norte,09/25/20,0.0,0.0,0.0,52.0,0.0,0.0,1.0
Orange,09/25/20,156.0,51.0,207.0,5578.0,47.0,7.0,232.0
Marin,09/25/20,5.0,2.0,7.0,319.0,4.0,0.0,12.0
Los Angeles,09/25/20,692.0,336.0,1028.0,20053.0,200.0,63.0,930.0
San Mateo,09/25/20,32.0,13.0,45.0,700.0,11.0,2.0,30.0
Glenn,09/25/20,0.0,0.0,0.0,47.0,0.0,0.0,0.0
Yuba,09/25/20,13.0,0.0,13.0,265.0,2.0,0.0,10.0
Alameda,09/25/20,86.0,27.0,113.0,2377.0,30.0,2.0,125.0
Butte,09/25/20,12.0,0.0,12.0,451.0,7.0,0.0,6.0
El Dorado,09/25/20,1.0,0.0,1.0,189.0,1.0,0.0,8.0
Glenn,09/26/20,0.0,0.0,0.0,47.0,0.0,0.0,0.0
Marin,09/26/20,5.0,8.0,13.0,328.0,3.0,1.0,12.0
Tehama,09/26/20,4.0,0.0,4.0,59.0,1.0,0.0,3.0
Kern,09/26/20,66.0,4.0,70.0,1330.0,20.0,0.0,64.0
Santa Clara,09/26/20,93.0,11.0,104.0,2902.0,35.0,1.0,106.0
San Diego,09/26/20,199.0,43.0,242.0,6766.0,73.0,5.0,309.0
San Mateo,09/26/20,29.0,12.0,41.0,700.0,10.0,2.0,32.0
Sonoma,09/26/20,18.0,7.0,25.0,579.0,8.0,1.0,5.0
Mono,09/26/20,0.0,0.0,0.0,17.0,0.0,0.0,2.0
Amador,09/26/20,0.0,0.0,0.0,51.0,0.0,0.0,2.0
Siskiyou,09/26/20,1.0,0.0,1.0,56.0,0.0,0.0,6.0
Humboldt,09/26/20,3.0,0.0,3.0,277.0,2.0,0.0,2.0
Plumas,09/26/20,0.0,0.0,0.0,35.0,0.0,0.0,0.0
Napa,09/26/20,3.0,0.0,3.0,356.0,3.0,0.0,18.0
Mariposa,09/26/20,0.0,0.0,0.0,19.0,0.0,0.0,0.0
Solano,09/26/20,18.0,19.0,37.0,545.0,3.0,3.0,8.0
San Bernardino,09/26/20,152.0,44.0,196.0,3825.0,47.0,4.0,160.0
Yuba,09/26/20,13.0,0.0,13.0,265.0,2.0,0.0,15.0
Butte,09/26/20,13.0,0.0,13.0,451.0,7.0,0.0,4.0
Madera,09/26/20,13.0,3.0,16.0,263.0,4.0,0.0,21.0
Merced,09/26/20,9.0,0.0,9.0,253.0,4.0,0.0,13.0
Tuolumne,09/26/20,1.0,0.0,1.0,84.0,0.0,0.0,0.0
Trinity,09/26/20,0.0,0.0,0.0,25.0,0.0,0.0,0.0
Stanislaus,09/26/20,69.0,19.0,88.0,1282.0,23.0,2.0,27.0
Monterey,09/26/20,29.0,0.0,29.0,702.0,10.0,0.0,28.0
Fresno,09/26/20,74.0,26.0,100.0,1533.0,19.0,3.0,16.0
San Benito,09/26/20,2.0,0.0,2.0,25.0,1.0,0.0,2.0
Modoc,09/26/20,0.0,0.0,0.0,41.0,0.0,0.0,0.0
Inyo,09/26/20,0.0,0.0,0.0,29.0,0.0,0.0,4.0
Del Norte,09/26/20,0.0,0.0,0.0,51.0,0.0,0.0,2.0
El Dorado,09/26/20,1.0,0.0,1.0,189.0,1.0,0.0,4.0
Ventura,09/26/20,46.0,18.0,64.0,1254.0,18.0,5.0,62.0
Sacramento,09/26/20,131.0,25.0,156.0,2485.0,32.0,7.0,85.0
Calaveras,09/26/20,0.0,0.0,0.0,33.0,0.0,0.0,5.0
Alameda,09/26/20,77.0,37.0,114.0,2363.0,26.0,6.0,111.0
San Joaquin,09/26/20,38.0,11.0,49.0,1013.0,19.0,1.0,52.0
Colusa,09/26/20,1.0,0.0,1.0,48.0,0.0,0.0,0.0
Lassen,09/26/20,0.0,0.0,0.0,25.0,0.0,0.0,0.0
San Francisco,09/26/20,56.0,8.0,64.0,1859.0,18.0,3.0,63.0
Mendocino,09/26/20,9.0,0.0,9.0,150.0,3.0,0.0,5.0
Tulare,09/26/20,32.0,10.0,42.0,664.0,6.0,0.0,13.0
Santa Barbara,09/26/20,21.0,5.0,26.0,666.0,4.0,1.0,56.0
Yolo,09/26/20,3.0,0.0,3.0,96.0,2.0,0.0,7.0
Orange,09/26/20,165.0,34.0,199.0,5585.0,45.0,4.0,245.0
Lake,09/26/20,0.0,1.0,1.0,65.0,0.0,0.0,5.0
San Luis Obispo,09/26/20,3.0,1.0,4.0,451.0,1.0,0.0,28.0
Shasta,09/26/20,8.0,1.0,9.0,561.0,1.0,0.0,10.0
Riverside,09/26/20,135.0,53.0,188.0,3381.0,37.0,13.0,104.0
Placer,09/26/20,25.0,25.0,50.0,756.0,11.0,2.0,37.0
Santa Cruz,09/26/20,19.0,0.0,19.0,376.0,5.0,0.0,12.0
Contra Costa,09/26/20,30.0,11.0,41.0,1492.0,13.0,1.0,54.0
Nevada,09/26/20,1.0,0.0,1.0,122.0,0.0,0.0,5.0
Imperial,09/26/20,25.0,0.0,25.0,259.0,10.0,0.0,5.0
Los Angeles,09/26/20,689.0,354.0,1043.0,19966.0,236.0,63.0,989.0
Sutter,09/26/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kings,09/26/20,10.0,0.0,10.0,193.0,1.0,0.0,14.0
Colusa,09/27/20,1.0,0.0,1.0,48.0,0.0,0.0,0.0
Kings,09/27/20,14.0,0.0,14.0,193.0,1.0,0.0,15.0
Nevada,09/27/20,2.0,0.0,2.0,132.0,0.0,0.0,3.0
Placer,09/27/20,22.0,28.0,50.0,747.0,10.0,5.0,31.0
Amador,09/27/20,0.0,0.0,0.0,51.0,0.0,0.0,3.0
Yolo,09/27/20,3.0,0.0,3.0,96.0,3.0,0.0,3.0
San Joaquin,09/27/20,32.0,20.0,52.0,1007.0,16.0,2.0,53.0
Del Norte,09/27/20,0.0,0.0,0.0,52.0,0.0,0.0,0.0
Lake,09/27/20,1.0,0.0,1.0,65.0,0.0,0.0,3.0
Sonoma,09/27/20,20.0,4.0,24.0,552.0,7.0,1.0,7.0
Solano,09/27/20,17.0,22.0,39.0,533.0,1.0,1.0,5.0
Imperial,09/27/20,20.0,0.0,20.0,259.0,8.0,0.0,6.0
Siskiyou,09/27/20,1.0,0.0,1.0,56.0,0.0,0.0,6.0
Santa Barbara,09/27/20,21.0,1.0,22.0,666.0,5.0,0.0,55.0
Yuba,09/27/20,14.0,0.0,14.0,265.0,1.0,0.0,14.0
Mendocino,09/27/20,7.0,0.0,7.0,150.0,3.0,0.0,5.0
Tehama,09/27/20,4.0,0.0,4.0,59.0,1.0,0.0,1.0
Santa Cruz,09/27/20,24.0,0.0,24.0,376.0,4.0,0.0,12.0
Madera,09/27/20,12.0,9.0,21.0,263.0,3.0,0.0,21.0
Sacramento,09/27/20,119.0,35.0,154.0,2486.0,38.0,6.0,88.0
Mariposa,09/27/20,0.0,0.0,0.0,19.0,0.0,0.0,0.0
Monterey,09/27/20,29.0,0.0,29.0,702.0,9.0,0.0,30.0
Glenn,09/27/20,0.0,0.0,0.0,47.0,0.0,0.0,0.0
Santa Clara,09/27/20,94.0,13.0,107.0,2882.0,33.0,3.0,106.0
Sutter,09/27/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fresno,09/27/20,74.0,22.0,96.0,1555.0,20.0,2.0,14.0
El Dorado,09/27/20,1.0,0.0,1.0,189.0,1.0,0.0,4.0
Trinity,09/27/20,0.0,0.0,0.0,25.0,0.0,0.0,0.0
Napa,09/27/20,3.0,0.0,3.0,359.0,3.0,0.0,17.0
Kern,09/27/20,67.0,3.0,70.0,1303.0,16.0,0.0,61.0
Modoc,09/27/20,0.0,0.0,0.0,41.0,0.0,0.0,0.0
Tuolumne,09/27/20,1.0,0.0,1.0,84.0,0.0,0.0,0.0
Tulare,09/27/20,33.0,8.0,41.0,664.0,7.0,0.0,18.0
San Benito,09/27/20,2.0,0.0,2.0,25.0,1.0,0.0,2.0
San Francisco,09/27/20,54.0,6.0,60.0,1813.0,18.0,0.0,81.0
Marin,09/27/20,7.0,7.0,14.0,326.0,3.0,0.0,14.0
Plumas,09/27/20,0.0,0.0,0.0,35.0,0.0,0.0,0.0
Stanislaus,09/27/20,59.0,20.0,79.0,1315.0,20.0,1.0,33.0
Merced,09/27/20,9.0,1.0,10.0,253.0,4.0,0.0,11.0
Mono,09/27/20,0.0,0.0,0.0,17.0,0.0,0.0,2.0
Riverside,09/27/20,128.0,49.0,177.0,3340.0,36.0,10.0,111.0
San Diego,09/27/20,184.0,48.0,232.0,6761.0,69.0,9.0,319.0
Ventura,09/27/20,48.0,11.0,59.0,1255.0,18.0,0.0,54.0
San Mateo,09/27/20,29.0,9.0,38.0,675.0,9.0,0.0,31.0
Humboldt,09/27/20,3.0,0.0,3.0,277.0,1.0,0.0,2.0
Contra Costa,09/27/20,31.0,13.0,44.0,1484.0,13.0,1.0,54.0
Inyo,09/27/20,0.0,1.0,1.0,29.0,0.0,0.0,3.0
San Luis Obispo,09/27/20,2.0,1.0,3.0,451.0,1.0,0.0,29.0
Shasta,09/27/20,1.0,6.0,7.0,561.0,0.0,1.0,11.0
Lassen,09/27/20,0.0,0.0,0.0,25.0,0.0,0.0,0.0
Orange,09/27/20,161.0,63.0,224.0,5518.0,46.0,4.0,257.0
Butte,09/27/20,13.0,0.0,13.0,451.0,8.0,0.0,4.0
Calaveras,09/27/20,0.0,0.0,0.0,33.0,0.0,0.0,6.0
Alameda,09/27/20,76.0,37.0,113.0,2364.0,25.0,5.0,124.0
San Bernardino,09/27/20,160.0,50.0,210.0,3812.0,47.0,5.0,171.0
Los Angeles,09/27/20,714.0,356.0,1070.0,19933.0,205.0,61.0,998.0
Tuolumne,09/28/20,1.0,0.0,1.0,84.0,0.0,0.0,6.0
Colusa,09/28/20,1.0,0.0,1.0,48.0,0.0,0.0,0.0
San Benito,09/28/20,2.0,0.0,2.0,25.0,1.0,0.0,1.0
Trinity,09/28/20,0.0,0.0,0.0,25.0,0.0,0.0,0.0
Nevada,09/28/20,2.0,0.0,2.0,134.0,0.0,0.0,4.0
Humboldt,09/28/20,2.0,3.0,5.0,275.0,1.0,1.0,2.0
San Diego,09/28/20,199.0,58.0,257.0,6770.0,68.0,19.0,338.0
Stanislaus,09/28/20,54.0,24.0,78.0,1310.0,21.0,1.0,29.0
Santa Barbara,09/28/20,26.0,1.0,27.0,666.0,6.0,0.0,56.0
Madera,09/28/20,12.0,14.0,26.0,263.0,2.0,1.0,18.0
Mono,09/28/20,0.0,0.0,0.0,17.0,0.0,0.0,2.0
Marin,09/28/20,8.0,6.0,14.0,320.0,3.0,0.0,12.0
Solano,09/28/20,19.0,19.0,38.0,546.0,2.0,1.0,7.0
Riverside,09/28/20,125.0,57.0,182.0,3322.0,33.0,7.0,110.0
Santa Clara,09/28/20,93.0,18.0,111.0,2972.0,29.0,1.0,118.0
San Bernardino,09/28/20,165.0,58.0,223.0,3831.0,48.0,8.0,173.0
San Francisco,09/28/20,60.0,5.0,65.0,1828.0,17.0,1.0,88.0
Los Angeles,09/28/20,734.0,291.0,1025.0,19925.0,207.0,55.0,1043.0
Sacramento,09/28/20,125.0,35.0,160.0,2489.0,33.0,9.0,95.0
Mendocino,09/28/20,6.0,0.0,6.0,150.0,3.0,0.0,5.0
Ventura,09/28/20,46.0,7.0,53.0,1244.0,14.0,1.0,62.0
San Mateo,09/28/20,29.0,11.0,40.0,680.0,8.0,2.0,32.0
Kern,09/28/20,71.0,3.0,74.0,1304.0,14.0,0.0,68.0
Lassen,09/28/20,0.0,0.0,0.0,25.0,0.0,0.0,0.0
Alameda,09/28/20,79.0,35.0,114.0,2368.0,25.0,7.0,125.0
Calaveras,09/28/20,0.0,0.0,0.0,33.0,0.0,0.0,6.0
San Luis Obispo,09/28/20,3.0,0.0,3.0,451.0,1.0,0.0,29.0
Imperial,09/28/20,22.0,0.0,22.0,259.0,8.0,0.0,4.0
Placer,09/28/20,24.0,28.0,52.0,742.0,9.0,2.0,30.0
Tehama,09/28/20,5.0,0.0,5.0,59.0,1.0,0.0,1.0
Butte,09/28/20,13.0,0.0,13.0,451.0,6.0,0.0,8.0
Plumas,09/28/20,0.0,0.0,0.0,35.0,0.0,0.0,0.0
Yolo,09/28/20,3.0,0.0,3.0,96.0,2.0,0.0,5.0
Yuba,09/28/20,13.0,0.0,13.0,265.0,1.0,0.0,13.0
Lake,09/28/20,1.0,1.0,2.0,65.0,0.0,1.0,2.0
Santa Cruz,09/28/20,25.0,0.0,25.0,376.0,5.0,0.0,16.0
Siskiyou,09/28/20,0.0,1.0,1.0,56.0,0.0,0.0,7.0
El Dorado,09/28/20,1.0,0.0,1.0,189.0,1.0,0.0,5.0
Merced,09/28/20,10.0,10.0,20.0,271.0,4.0,0.0,10.0
Mariposa,09/28/20,0.0,0.0,0.0,19.0,0.0,0.0,0.0
Glenn,09/28/20,0.0,0.0,0.0,47.0,0.0,0.0,0.0
Contra Costa,09/28/20,30.0,15.0,45.0,1477.0,12.0,0.0,52.0
Fresno,09/28/20,76.0,14.0,90.0,1579.0,20.0,2.0,13.0
San Joaquin,09/28/20,35.0,18.0,53.0,1009.0,14.0,4.0,45.0
Shasta,09/28/20,6.0,1.0,7.0,561.0,1.0,0.0,13.0
Sutter,09/28/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kings,09/28/20,16.0,0.0,16.0,193.0,1.0,0.0,14.0
Tulare,09/28/20,34.0,8.0,42.0,677.0,7.0,0.0,23.0
Modoc,09/28/20,0.0,0.0,0.0,41.0,0.0,0.0,0.0
Orange,09/28/20,162.0,78.0,240.0,5626.0,46.0,10.0,239.0
Napa,09/28/20,4.0,2.0,6.0,359.0,4.0,0.0,26.0
Monterey,09/28/20,30.0,0.0,30.0,702.0,8.0,0.0,29.0
Del Norte,09/28/20,0.0,1.0,1.0,52.0,0.0,1.0,1.0
Amador,09/28/20,0.0,0.0,0.0,51.0,0.0,0.0,3.0
Inyo,09/28/20,0.0,1.0,1.0,29.0,0.0,0.0,4.0
Sonoma,09/28/20,20.0,8.0,28.0,581.0,7.0,1.0,4.0
San Diego,09/29/20,182.0,56.0,238.0,6775.0,65.0,9.0,309.0
Tuolumne,09/29/20,1.0,0.0,1.0,84.0,0.0,0.0,2.0
Amador,09/29/20,1.0,0.0,1.0,51.0,1.0,0.0,2.0
Sacramento,09/29/20,122.0,38.0,160.0,2492.0,32.0,5.0,97.0
Ventura,09/29/20,48.0,14.0,62.0,1270.0,17.0,3.0,53.0
San Francisco,09/29/20,61.0,5.0,66.0,1866.0,16.0,1.0,73.0
Lake,09/29/20,1.0,1.0,2.0,65.0,0.0,1.0,3.0
Merced,09/29/20,9.0,11.0,20.0,271.0,5.0,0.0,9.0
El Dorado,09/29/20,1.0,0.0,1.0,189.0,1.0,0.0,8.0
Santa Barbara,09/29/20,23.0,0.0,23.0,666.0,6.0,0.0,50.0
Mendocino,09/29/20,5.0,0.0,5.0,150.0,2.0,0.0,2.0
Stanislaus,09/29/20,50.0,30.0,80.0,1312.0,21.0,6.0,18.0
Fresno,09/29/20,80.0,14.0,94.0,1574.0,23.0,4.0,14.0
Yuba,09/29/20,13.0,1.0,14.0,265.0,1.0,0.0,9.0
San Luis Obispo,09/29/20,3.0,0.0,3.0,451.0,1.0,0.0,25.0
Solano,09/29/20,18.0,21.0,39.0,562.0,2.0,4.0,8.0
Santa Cruz,09/29/20,23.0,0.0,23.0,376.0,4.0,0.0,14.0
Kings,09/29/20,20.0,1.0,21.0,193.0,2.0,1.0,13.0
Los Angeles,09/29/20,746.0,340.0,1086.0,19969.0,205.0,49.0,1013.0
Tulare,09/29/20,34.0,9.0,43.0,677.0,7.0,0.0,21.0
Del Norte,09/29/20,0.0,0.0,0.0,53.0,0.0,0.0,0.0
Modoc,09/29/20,0.0,0.0,0.0,41.0,0.0,0.0,0.0
Mono,09/29/20,0.0,0.0,0.0,17.0,0.0,0.0,2.0
Sutter,09/29/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mariposa,09/29/20,0.0,0.0,0.0,19.0,0.0,0.0,0.0
Calaveras,09/29/20,0.0,0.0,0.0,33.0,0.0,0.0,6.0
Kern,09/29/20,73.0,5.0,78.0,1304.0,16.0,0.0,65.0
Tehama,09/29/20,5.0,0.0,5.0,59.0,1.0,0.0,1.0
Imperial,09/29/20,23.0,0.0,23.0,259.0,8.0,0.0,6.0
Riverside,09/29/20,130.0,52.0,182.0,3312.0,36.0,7.0,110.0
San Bernardino,09/29/20,170.0,55.0,225.0,3845.0,45.0,9.0,160.0
Madera,09/29/20,9.0,13.0,22.0,263.0,2.0,1.0,17.0
Napa,09/29/20,6.0,1.0,7.0,351.0,3.0,0.0,25.0
Siskiyou,09/29/20,0.0,1.0,1.0,56.0,0.0,0.0,7.0
Colusa,09/29/20,1.0,0.0,1.0,48.0,0.0,0.0,0.0
Plumas,09/29/20,0.0,0.0,0.0,35.0,0.0,0.0,0.0
Placer,09/29/20,22.0,22.0,44.0,744.0,7.0,0.0,38.0
Contra Costa,09/29/20,32.0,17.0,49.0,1509.0,13.0,3.0,49.0
Sonoma,09/29/20,17.0,4.0,21.0,557.0,7.0,1.0,6.0
Shasta,09/29/20,5.0,1.0,6.0,561.0,1.0,0.0,13.0
Orange,09/29/20,172.0,52.0,224.0,5747.0,48.0,9.0,231.0
Monterey,09/29/20,30.0,0.0,30.0,702.0,8.0,0.0,25.0
Nevada,09/29/20,3.0,0.0,3.0,134.0,1.0,0.0,4.0
Santa Clara,09/29/20,90.0,15.0,105.0,2970.0,29.0,4.0,104.0
Humboldt,09/29/20,2.0,3.0,5.0,277.0,1.0,0.0,3.0
San Benito,09/29/20,1.0,0.0,1.0,25.0,1.0,0.0,1.0
San Mateo,09/29/20,26.0,17.0,43.0,696.0,7.0,5.0,12.0
Marin,09/29/20,7.0,8.0,15.0,326.0,3.0,1.0,11.0
Glenn,09/29/20,0.0,0.0,0.0,47.0,0.0,0.0,0.0
San Joaquin,09/29/20,33.0,20.0,53.0,1007.0,14.0,5.0,47.0
Alameda,09/29/20,78.0,47.0,125.0,2390.0,26.0,5.0,126.0
Butte,09/29/20,13.0,0.0,13.0,451.0,6.0,0.0,3.0
Inyo,09/29/20,0.0,0.0,0.0,29.0,0.0,0.0,4.0
Trinity,09/29/20,0.0,0.0,0.0,25.0,0.0,0.0,0.0
Lassen,09/29/20,0.0,0.0,0.0,25.0,0.0,0.0,0.0
Yolo,09/29/20,4.0,0.0,4.0,96.0,3.0,0.0,3.0
Tehama,09/30/20,6.0,0.0,6.0,59.0,1.0,0.0,1.0
Colusa,09/30/20,5.0,0.0,5.0,48.0,0.0,0.0,0.0
Santa Barbara,09/30/20,18.0,1.0,19.0,666.0,5.0,1.0,44.0
Imperial,09/30/20,26.0,0.0,26.0,259.0,8.0,0.0,7.0
Mono,09/30/20,0.0,0.0,0.0,17.0,0.0,0.0,2.0
Madera,09/30/20,10.0,9.0,19.0,263.0,2.0,0.0,23.0
Sacramento,09/30/20,119.0,27.0,146.0,2502.0,31.0,6.0,83.0
Santa Clara,09/30/20,93.0,17.0,110.0,2998.0,28.0,3.0,103.0
Orange,09/30/20,173.0,55.0,228.0,5746.0,45.0,13.0,218.0
Del Norte,09/30/20,0.0,0.0,0.0,52.0,0.0,0.0,0.0
Yolo,09/30/20,6.0,0.0,6.0,96.0,4.0,0.0,3.0
Marin,09/30/20,7.0,4.0,11.0,325.0,4.0,0.0,9.0
Tuolumne,09/30/20,2.0,0.0,2.0,84.0,0.0,0.0,2.0
Napa,09/30/20,6.0,0.0,6.0,351.0,3.0,0.0,31.0
Sutter,09/30/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nevada,09/30/20,3.0,0.0,3.0,126.0,2.0,0.0,5.0
San Mateo,09/30/20,26.0,16.0,42.0,703.0,8.0,2.0,19.0
Solano,09/30/20,14.0,18.0,32.0,570.0,2.0,1.0,10.0
Lassen,09/30/20,0.0,0.0,0.0,25.0,0.0,0.0,0.0
Placer,09/30/20,17.0,18.0,35.0,744.0,5.0,3.0,29.0
Calaveras,09/30/20,0.0,0.0,0.0,33.0,0.0,0.0,8.0
Los Angeles,09/30/20,730.0,371.0,1101.0,20001.0,197.0,55.0,996.0
Lake,09/30/20,1.0,2.0,3.0,65.0,0.0,0.0,1.0
San Benito,09/30/20,1.0,0.0,1.0,25.0,1.0,0.0,2.0
Ventura,09/30/20,46.0,10.0,56.0,1273.0,17.0,3.0,53.0
San Bernardino,09/30/20,165.0,58.0,223.0,3863.0,45.0,12.0,164.0
Trinity,09/30/20,0.0,0.0,0.0,25.0,0.0,0.0,0.0
San Diego,09/30/20,187.0,43.0,230.0,6771.0,70.0,8.0,309.0
Stanislaus,09/30/20,58.0,21.0,79.0,1308.0,21.0,4.0,21.0
Plumas,09/30/20,0.0,0.0,0.0,35.0,0.0,0.0,0.0
Yuba,09/30/20,13.0,0.0,13.0,265.0,1.0,0.0,10.0
Humboldt,09/30/20,2.0,0.0,2.0,272.0,1.0,0.0,6.0
El Dorado,09/30/20,0.0,0.0,0.0,189.0,0.0,0.0,6.0
Merced,09/30/20,11.0,0.0,11.0,271.0,5.0,0.0,6.0
Butte,09/30/20,9.0,0.0,9.0,451.0,3.0,0.0,4.0
Santa Cruz,09/30/20,20.0,0.0,20.0,376.0,6.0,0.0,10.0
Contra Costa,09/30/20,31.0,15.0,46.0,1515.0,10.0,3.0,49.0
San Luis Obispo,09/30/20,1.0,0.0,1.0,451.0,0.0,0.0,25.0
