Establishment Category,Establishment Details,Establishment Status,Report Date,State,State Status
Food and drink,Restaurant dining,Reopened,"May 5, 2020",OK,Reopening
Entertainment,"Movie theaters, sporting venues, museums",Reopened,"May 5, 2020",OK,Reopening
Houses of worship,,Reopened,"May 5, 2020",OK,Reopening
Industries,Offices,Reopened,"May 5, 2020",OK,Reopening
Outdoor and recreation,"Beaches, piers, docks, etc.",Reopened,"May 5, 2020",SC,Reopening
Retail stores,,Reopened,"May 5, 2020",SC,Reopening
Food and drink,Restaurants for outdoor service only,Reopened,"May 5, 2020",SC,Reopening
Outdoor and recreation,State parks; Gyms in most counties,Reopened,"May 5, 2020",TN,Reopening
Food and drink,Restaurant dining in most counties,Reopened,"May 5, 2020",TN,Reopening
Retail stores,Retail stores in most counties,Reopened,"May 5, 2020",TN,Reopening
Personal care,"Salons, barbers, etc. in most counties",Reopening soon,"May 5, 2020",TN,Reopening
Outdoor and recreation,State parks; Outdoor sports,Reopened,"May 5, 2020",TX,Reopening
Retail stores,"Retail stores, malls",Reopened,"May 5, 2020",TX,Reopening
Food and drink,Restaurant dining,Reopened,"May 5, 2020",TX,Reopening
Entertainment,"Movie theaters, museums, libraries",Reopened,"May 5, 2020",TX,Reopening
Food and drink,Restaurant dining,Reopened,"May 5, 2020",UT,Reopening
Personal care,"Salons, personal care businesses",Reopened,"May 5, 2020",UT,Reopening
Outdoor and recreation,Gyms,Reopened,"May 5, 2020",UT,Reopening
Food and drink,Restaurants open for outdoor dining,Reopened,"May 5, 2020",WV,Reopening
Retail and beauty,"Salons, barbers, pet groomers",Reopened,"May 5, 2020",WV,Reopening
Outdoor and recreation,Gyms,Reopened,"May 5, 2020",WY,Reopening
Personal care,"Hair salons, barbershops, tattoo parlors, massage therapy, etc.",Reopened,"May 5, 2020",WY,Reopening
Retail stores,Retail stores open to curbside pickup,Reopened,"May 5, 2020",AZ,Order Lifting or Reopening in the Next Week
Retail stores,Retail stores open to in-person shopping,Reopening soon,"May 5, 2020",AZ,Order Lifting or Reopening in the Next Week
Personal care,"Barbers, cosmetologists, etc.",Reopening soon,"May 5, 2020",AZ,Order Lifting or Reopening in the Next Week
Food and drink,Restaurant dining,Reopening soon,"May 5, 2020",AZ,Order Lifting or Reopening in the Next Week
Outdoor and recreation,State park camping; Gyms,Reopened,"May 5, 2020",AR,Order Lifting or Reopening in the Next Week
Food and drink,Restaurant dining,Reopening soon,"May 5, 2020",AR,Order Lifting or Reopening in the Next Week
Personal care,"Hair salons, barbershops, nail salons etc.",Reopening soon,"May 5, 2020",AR,Order Lifting or Reopening in the Next Week
Retail stores,,Reopened,"May 5, 2020",NH,Order Lifting or Reopening in the Next Week
Personal care,"Barbers, hair salons, etc.",Reopened,"May 5, 2020",NH,Order Lifting or Reopening in the Next Week
Outdoor and recreation,Golf courses,Reopened,"May 5, 2020",NH,Order Lifting or Reopening in the Next Week
Retail stores,,Reopening soon,"May 5, 2020",NH,Order Lifting or Reopening in the Next Week
Personal care,"Barbers, hair salons, etc.",Reopening soon,"May 5, 2020",NH,Order Lifting or Reopening in the Next Week
Outdoor and recreation,Golf courses,Reopening soon,"May 5, 2020",NH,Order Lifting or Reopening in the Next Week
Outdoor and recreation,"Golf courses, marinas, guided fishing trips, privately owned campgrounds",Reopened,"May 5, 2020",PA,Order Lifting or Reopening in the Next Week
Retail stores,Retail stores open to curbside pickup,Reopened,"May 5, 2020",CA,Shut down or restricted
Retail stores,Retail stores open to curbside pickup,Reopening soon,"May 5, 2020",CA,Shut down or restricted
Outdoor and recreation,"Beaches, piers, docks, etc.",Reopened,"May 5, 2020",HI,Shut down or restricted
Outdoor and recreation,"State parks; limited fishing, boating and golfing",Reopened,"May 5, 2020",IL,Shut down or restricted
Retail stores,Retail stores open to curbside pickup,Reopened,"May 5, 2020",IL,Shut down or restricted
Industries,"Manufacturing, construction, car dealerships, horse racing",Reopened,"May 5, 2020",KY,Shut down or restricted
Industries,"Manufacturing, construction, car dealerships, horse racing",Reopening soon,"May 5, 2020",KY,Shut down or restricted
Outdoor and recreation,"Golfing, boating",Reopened,"May 5, 2020",MI,Shut down or restricted
Retail stores,Retail stores open to curbside pickup,Reopened,"May 5, 2020",MI,Shut down or restricted
Industries,"Construction, real estate",Reopening soon,"May 5, 2020",MI,Shut down or restricted
Industries,Industrial and manufacturing businesses; Offices,Reopened,"May 5, 2020",MN,Shut down or restricted
Retail stores,Retail stores open to curbside pickup,Reopened,"May 5, 2020",MN,Shut down or restricted
Retail stores,Retail stores open to curbside pickup,Reopened,"May 5, 2020",NV,Shut down or restricted
Outdoor and recreation,"Golf, pickleball and tennis",Reopened,"May 5, 2020",NV,Shut down or restricted
Outdoor and recreation,"State parks, golf courses",Reopened,"May 5, 2020",NJ,Shut down or restricted
Retail stores,Retail stores open to curbside pickup and delivery,Reopened,"May 5, 2020",NM,Shut down or restricted
Outdoor and recreation,State parks; Golf courses,Reopened,"May 5, 2020",NM,Shut down or restricted
Personal care,Pet grooming and boarding,Reopened,"May 5, 2020",NM,Shut down or restricted
Industries,"Manufacturing, distribution and construction businesses; Offices",Reopened,"May 5, 2020",OH,Shut down or restricted
Industries,Some construction,Reopened,"May 5, 2020",VT,Shut down or restricted
Industries,"Manufacturing, construction and distribution",Reopening soon,"May 5, 2020",VT,Shut down or restricted
Industries,Some construction,Reopened,"May 5, 2020",WA,Shut down or restricted
Outdoor and recreation,"Fishing, hunting, golfing, state parks",Reopened,"May 5, 2020",WA,Shut down or restricted
Retail stores,Retail stores for curbside pick-up only,Reopened,"May 5, 2020",WA,Shut down or restricted
Outdoor and recreation,Golfing; State parks,Reopened,"May 5, 2020",WI,Shut down or restricted
Personal care,Pet groomers for curbside dropoff,Reopened,"May 5, 2020",WI,Shut down or restricted
Retail stores,Retail stores open for curbside pickup,Reopened,"May 5, 2020",WI,Shut down or restricted
Outdoor and recreation,Beaches,Reopened,"May 4, 2020",AL,Reopening
Retail and beauty,Retail stores,Reopened,"May 4, 2020",AL,Reopening
Food and drink,Restaurant dining,Reopened,"May 4, 2020",AK,Reopening
Retail and beauty,"Retail stores; Hair salons, barbershops, nail salons etc.",Reopened,"May 4, 2020",AK,Reopening
Retail and beauty,Retail stores open to curbside pickup; Salons and personal services,Reopened,"May 4, 2020",CO,Reopening
Industries,Offices,Reopened,"May 4, 2020",CO,Reopening
Food and drink,Restaurant dining,Reopened,"May 4, 2020",FL,Reopening
Retail and beauty,Retail stores,Reopened,"May 4, 2020",FL,Reopening
Outdoor and recreation,Gyms,Reopened,"May 4, 2020",GA,Reopening
Entertainment,Bowling alleys; Theaters and private social clubs,Reopened,"May 4, 2020",GA,Reopening
Retail and beauty,"Hair salons, barbershops, etc.",Reopened,"May 4, 2020",GA,Reopening
Food and drink,Restaurant dining,Reopened,"May 4, 2020",GA,Reopening
Houses of worship,,Reopened,"May 4, 2020",ID,Reopening
Retail and beauty,Retail stores,Reopened,"May 4, 2020",IN,Reopening
Houses of worship,,Reopening soon,"May 4, 2020",IN,Reopening
Food and drink,Restaurant dining in certain counties,Reopened,"May 4, 2020",IA,Reopening
Outdoor and recreation,Gyms in certain counties,Reopened,"May 4, 2020",IA,Reopening
Retail and beauty,Malls and other retail stores in certain counties,Reopened,"May 4, 2020",IA,Reopening
Entertainment,Libraries in certain counties,Reopened,"May 4, 2020",IA,Reopening
Food and drink,Restaurants,Reopened,"May 4, 2020",KS,Reopening
Retail and beauty,Retail,Reopened,"May 4, 2020",KS,Reopening
Houses of worship,,Reopened,"May 4, 2020",KS,Reopening
Retail and beauty,"Salons, barbershops, pet groomers",Reopened,"May 4, 2020",ME,Reopening
Outdoor and recreation,"State parks; Hunting, fishing, limited golfing",Reopened,"May 4, 2020",ME,Reopening
Industries,Industrial and manufacturing businesses; Offices,Reopened,"May 4, 2020",MN,Reopening
Retail and beauty,Retail stores open to curbside pickup,Reopened,"May 4, 2020",MN,Reopening
Retail and beauty,Retail stores,Reopened,"May 4, 2020",MS,Reopening
Food and drink,Restaurant dining,Reopened,"May 4, 2020",MO,Reopening
Retail and beauty,"Salons, barbers, tattoo parlors etc.; Retail stores",Reopened,"May 4, 2020",MO,Reopening
Outdoor and recreation,Gyms,Reopened,"May 4, 2020",MO,Reopening
Houses of worship,,Reopened,"May 4, 2020",MT,Reopening
Retail and beauty,Retail stores,Reopened,"May 4, 2020",MT,Reopening
Food and drink,"Restaurant dining, bars, breweries and distilleries",Reopened,"May 4, 2020",MT,Reopening
Houses of worship,,Reopened,"May 4, 2020",NE,Reopening
Retail and beauty,"Salons, barbershops, tattoo parlors, etc. in certain areas",Reopened,"May 4, 2020",NE,Reopening
Food and drink,Restaurant dining in certain areas,Reopened,"May 4, 2020",NE,Reopening
Food and drink,"Restaurant dining, bars",Reopened,"May 4, 2020",ND,Reopening
Outdoor and recreation,Gyms,Reopened,"May 4, 2020",ND,Reopening
Retail and beauty,"Salons, tattoo parlors, massage therapy, etc.",Reopened,"May 4, 2020",ND,Reopening
Entertainment,Movie theaters,Reopened,"May 4, 2020",ND,Reopening
Retail and beauty,"Salons, barbers, spas, pet groomers, etc.; Tattoo parlors",Reopened,"May 4, 2020",OK,Reopening
Outdoor and recreation,State parks; Gyms,Reopened,"May 4, 2020",OK,Reopening
Food and drink,Restaurant dining,Reopened,"May 4, 2020",OK,Reopening
Entertainment,"Movie theaters, sporting venues, museums",Reopened,"May 4, 2020",OK,Reopening
Houses of worship,,Reopened,"May 4, 2020",OK,Reopening
Industries,Offices,Reopened,"May 4, 2020",OK,Reopening
Outdoor and recreation,"Beaches, piers, docks, etc.",Reopened,"May 4, 2020",SC,Reopening
Retail and beauty,Retail stores,Reopened,"May 4, 2020",SC,Reopening
Food and drink,Restaurants for outdoor service only,Reopened,"May 4, 2020",SC,Reopening
Outdoor and recreation,State parks; Gyms in most counties,Reopened,"May 4, 2020",TN,Reopening
Food and drink,Restaurant dining in most counties,Reopened,"May 4, 2020",TN,Reopening
Retail and beauty,Retail stores in most counties,Reopened,"May 4, 2020",TN,Reopening
Retail and beauty,"Salons, barbers, etc. in most counties",Reopening soon,"May 4, 2020",TN,Reopening
Outdoor and recreation,State parks; Outdoor sports,Reopened,"May 4, 2020",TX,Reopening
Retail and beauty,"Retail stores, malls",Reopened,"May 4, 2020",TX,Reopening
Food and drink,Restaurant dining,Reopened,"May 4, 2020",TX,Reopening
Entertainment,"Movie theaters, museums, libraries",Reopened,"May 4, 2020",TX,Reopening
Food and drink,Restaurant dining,Reopened,"May 4, 2020",UT,Reopening
Retail and beauty,"Salons, personal care businesses",Reopened,"May 4, 2020",UT,Reopening
Outdoor and recreation,Gyms,Reopened,"May 4, 2020",UT,Reopening
Food and drink,Restaurants open for outdoor dining,Reopened,"May 4, 2020",WV,Reopening
Retail and beauty,"Salons, barbers, pet groomers",Reopened,"May 4, 2020",WV,Reopening
Outdoor and recreation,Gyms,Reopened,"May 4, 2020",WY,Reopening
Retail and beauty,"Hair salons, barbershops, tattoo parlors, massage therapy, etc.",Reopened,"May 4, 2020",WY,Reopening
Outdoor and recreation,State park camping; Gyms,Reopened,"May 4, 2020",AR,Order Lifting or Reopening in the Next Week
Retail and beauty,"Hair salons, barbershops, nail salons etc.",Reopening soon,"May 4, 2020",AR,Order Lifting or Reopening in the Next Week
Outdoor and recreation,"Golf courses, marinas, guided fishing trips, privately owned campgrounds",Reopened,"May 4, 2020",PA,Order Lifting or Reopening in the Next Week
Retail and beauty,Retail stores open to curbside pickup,Reopened,"May 4, 2020",AZ,Shut down or restricted
Retail and beauty,Retail stores open to in-person shopping,Reopening soon,"May 4, 2020",AZ,Shut down or restricted
Outdoor and recreation,"Beaches, piers, docks etc.",Reopened,"May 4, 2020",HI,Shut down or restricted
Outdoor and recreation,"State parks; limited fishing, boating and golfing",Reopened,"May 4, 2020",IL,Shut down or restricted
Retail and beauty,Retail stores open to curbside pickup,Reopened,"May 4, 2020",IL,Shut down or restricted
Outdoor and recreation,"Golfing, boating",Reopened,"May 4, 2020",MI,Shut down or restricted
Retail and beauty,Retail stores open to curbside pickup,Reopened,"May 4, 2020",MI,Shut down or restricted
Retail and beauty,Retail stores open to curbside pickup,Reopened,"May 4, 2020",NV,Shut down or restricted
Outdoor and recreation,"Golf, pickleball and tennis",Reopened,"May 4, 2020",NV,Shut down or restricted
Outdoor and recreation,"State parks, golf courses",Reopened,"May 4, 2020",NJ,Shut down or restricted
Retail and beauty,Retail stores open to curbside pickup and delivery; Pet services,Reopened,"May 4, 2020",NM,Shut down or restricted
Outdoor and recreation,State parks; Golf,Reopened,"May 4, 2020",NM,Shut down or restricted
Industries,"Manufacturing, distribution and construction businesses; Offices",Reopened,"May 4, 2020",OH,Shut down or restricted
Industries,Some construction,Reopened,"May 4, 2020",VT,Shut down or restricted
Industries,Some construction,Reopened,"May 4, 2020",WA,Shut down or restricted
Outdoor and recreation,"Fishing, hunting, golfing, state parks",Reopening soon,"May 4, 2020",WA,Shut down or restricted
Outdoor and recreation,"Golfing; Recreational equipment rentals, including boats, golf carts and kayaks; State parks",Reopened,"May 4, 2020",WI,Shut down or restricted
Outdoor and recreation,Beaches,Reopened,"May 1, 2020",AL,Reopening
Retail and beauty,Retail stores,Reopened,"May 1, 2020",AL,Reopening
Food and drink,Restaurant dining,Reopened,"May 1, 2020",AK,Reopening
Retail and beauty,"Retail stores; Hair salons, barbershops, nail salons etc.",Reopened,"May 1, 2020",AK,Reopening
Retail and beauty,Retail stores open to curbside pickup; Salons and personal services,Reopened,"May 1, 2020",CO,Reopening
Industries,Offices,Reopening soon,"May 1, 2020",CO,Reopening
Outdoor and recreation,Gyms,Reopened,"May 1, 2020",GA,Reopening
Entertainment,Bowling alleys; Theaters and private social clubs,Reopened,"May 1, 2020",GA,Reopening
Retail and beauty,"Hair salons, barbershops, etc.",Reopened,"May 1, 2020",GA,Reopening
Food and drink,Restaurant dining,Reopened,"May 1, 2020",GA,Reopening
Houses of worship,,Reopened,"May 1, 2020",ID,Reopening
Food and drink,Restaurant dining in certain counties,Reopened,"May 1, 2020",IA,Reopening
Outdoor and recreation,Gyms in certain counties,Reopened,"May 1, 2020",IA,Reopening
Retail and beauty,Malls and other retail stores in certain counties,Reopened,"May 1, 2020",IA,Reopening
Entertainment,Libraries in certain counties,Reopened,"May 1, 2020",IA,Reopening
Retail and beauty,"Salons, barbershops, pet groomers",Reopened,"May 1, 2020",ME,Reopening
Outdoor and recreation,"State parks; Hunting, fishing, limited golfing",Reopened,"May 1, 2020",ME,Reopening
Industries,Industrial and manufacturing businesses; Offices,Reopened,"May 1, 2020",MN,Reopening
Retail and beauty,Retail stores open to curbside pickup,Reopening soon,"May 1, 2020",MN,Reopening
Retail and beauty,Retail stores,Reopened,"May 1, 2020",MS,Reopening
Houses of worship,,Reopened,"May 1, 2020",MT,Reopening
Retail and beauty,Retail stores,Reopened,"May 1, 2020",MT,Reopening
Food and drink,"Restaurant dining, bars, breweries and distilleries",Reopening soon,"May 1, 2020",MT,Reopening
Food and drink,"Restaurant dining, bars",Reopened,"May 1, 2020",ND,Reopening
Outdoor and recreation,Gyms,Reopened,"May 1, 2020",ND,Reopening
Retail and beauty,"Salons, tattoo parlors, massage therapy, etc.",Reopened,"May 1, 2020",ND,Reopening
Entertainment,Movie theaters,Reopened,"May 1, 2020",ND,Reopening
Retail and beauty,"Salons, barbers, spas, pet groomers, etc.; Tattoo parlors",Reopened,"May 1, 2020",OK,Reopening
Outdoor and recreation,State parks,Reopened,"May 1, 2020",OK,Reopening
Food and drink,Restaurant dining,Reopened,"May 1, 2020",OK,Reopening
Entertainment,"Movie theaters, sporting venues, museums",Reopened,"May 1, 2020",OK,Reopening
Houses of worship,,Reopened,"May 1, 2020",OK,Reopening
Industries,Offices,Reopened,"May 1, 2020",OK,Reopening
Outdoor and recreation,"Beaches, piers, docks, etc.",Reopened,"May 1, 2020",SC,Reopening
Retail and beauty,Retail stores,Reopened,"May 1, 2020",SC,Reopening
Food and drink,Restaurants for outdoor service only,Reopening soon,"May 1, 2020",SC,Reopening
Outdoor and recreation,State parks; Gyms in most counties,Reopened,"May 1, 2020",TN,Reopening
Food and drink,Restaurant dining in most counties,Reopened,"May 1, 2020",TN,Reopening
Retail and beauty,Retail stores in most counties,Reopened,"May 1, 2020",TN,Reopening
Retail and beauty,"Salons, barbers, etc. in most counties",Reopening soon,"May 1, 2020",TN,Reopening
Outdoor and recreation,State parks; Outdoor sports,Reopened,"May 1, 2020",TX,Reopening
Retail and beauty,"Retail stores, malls",Reopened,"May 1, 2020",TX,Reopening
Food and drink,Restaurant dining,Reopened,"May 1, 2020",TX,Reopening
Entertainment,"Movie theaters, museums, libraries",Reopened,"May 1, 2020",TX,Reopening
Food and drink,Restaurant dining,Reopened,"May 1, 2020",UT,Reopening
Retail and beauty,"Salons, personal care businesses",Reopened,"May 1, 2020",UT,Reopening
Outdoor and recreation,Gyms,Reopened,"May 1, 2020",UT,Reopening
Outdoor and recreation,Gyms,Reopened,"May 1, 2020",WY,Reopening
Retail and beauty,"Hair salons, barbershops, tattoo parlors, massage therapy, etc.",Reopened,"May 1, 2020",WY,Reopening
Food and drink,Restaurant dining,Reopened,"May 1, 2020",FL,Order Lifting or Reopening in the Next Week
Retail and beauty,Retail stores,Reopened,"May 1, 2020",FL,Order Lifting or Reopening in the Next Week
Food and drink,Restaurant dining,Reopening soon,"May 1, 2020",FL,Order Lifting or Reopening in the Next Week
Retail and beauty,Retail stores,Reopening soon,"May 1, 2020",FL,Order Lifting or Reopening in the Next Week
Retail and beauty,Retail stores,Reopened,"May 1, 2020",IN,Order Lifting or Reopening in the Next Week
Retail and beauty,Retail stores,Reopening soon,"May 1, 2020",IN,Order Lifting or Reopening in the Next Week
Food and drink,Restaurant dining,Reopened,"May 1, 2020",MO,Order Lifting or Reopening in the Next Week
Retail and beauty,"Salons, barbers, tattoo parlors etc.",Reopened,"May 1, 2020",MO,Order Lifting or Reopening in the Next Week
Food and drink,Restaurant dining,Reopening soon,"May 1, 2020",MO,Order Lifting or Reopening in the Next Week
Retail and beauty,"Salons, barbers, tattoo parlors etc.",Reopening soon,"May 1, 2020",MO,Order Lifting or Reopening in the Next Week
Houses of worship,,Reopened,"May 1, 2020",NE,Order Lifting or Reopening in the Next Week
Retail and beauty,"Salons, barbershops, tattoo parlors, etc. in certain areas",Reopened,"May 1, 2020",NE,Order Lifting or Reopening in the Next Week
Food and drink,Restaurant dining in certain areas,Reopened,"May 1, 2020",NE,Order Lifting or Reopening in the Next Week
Houses of worship,,Reopening soon,"May 1, 2020",NE,Order Lifting or Reopening in the Next Week
Retail and beauty,"Salons, barbershops, tattoo parlors, etc. in certain areas",Reopening soon,"May 1, 2020",NE,Order Lifting or Reopening in the Next Week
Food and drink,Restaurant dining in certain areas,Reopening soon,"May 1, 2020",NE,Order Lifting or Reopening in the Next Week
Food and drink,Restaurants open for outdoor dining,Reopened,"May 1, 2020",WV,Order Lifting or Reopening in the Next Week
Retail and beauty,"Salons, barbers, pet groomers",Reopened,"May 1, 2020",WV,Order Lifting or Reopening in the Next Week
Food and drink,Restaurants open for outdoor dining,Reopening soon,"May 1, 2020",WV,Order Lifting or Reopening in the Next Week
Retail and beauty,"Salons, barbers, pet groomers",Reopening soon,"May 1, 2020",WV,Order Lifting or Reopening in the Next Week
Retail and beauty,Retail stores open to curbside pickup,Reopened,"May 1, 2020",AZ,Shut down or restricted
Retail and beauty,Retail stores open to curbside pickup,Reopening soon,"May 1, 2020",AZ,Shut down or restricted
Outdoor and recreation,State park camping,Reopened,"May 1, 2020",AR,Shut down or restricted
Outdoor and recreation,Gyms,Reopening soon,"May 1, 2020",AR,Shut down or restricted
Retail and beauty,"Hair salons, barbershops, nail salons etc.",Reopening soon,"May 1, 2020",AR,Shut down or restricted
Houses of worship,,Reopening soon,"May 1, 2020",AR,Shut down or restricted
Outdoor and recreation,"Beaches, piers, docks etc.",Reopened,"May 1, 2020",HI,Shut down or restricted
Outdoor and recreation,"State parks; limited fishing, boating and golfing",Reopened,"May 1, 2020",IL,Shut down or restricted
Retail and beauty,Retail stores open to curbside pickup,Reopened,"May 1, 2020",IL,Shut down or restricted
Outdoor and recreation,"Golfing, boating",Reopened,"May 1, 2020",MI,Shut down or restricted
Retail and beauty,Retail stores open to curbside pickup,Reopened,"May 1, 2020",MI,Shut down or restricted
Retail and beauty,Retail stores open to curbside pickup,Reopened,"May 1, 2020",NV,Shut down or restricted
Outdoor and recreation,"Golf, pickleball and tennis",Reopened,"May 1, 2020",NV,Shut down or restricted
Outdoor and recreation,"State parks, golf courses",Reopened,"May 1, 2020",NJ,Shut down or restricted
Outdoor and recreation,"State parks, golf courses",Reopening soon,"May 1, 2020",NJ,Shut down or restricted
Retail and beauty,Retail stores open to curbside pickup and delivery; Pet services,Reopened,"May 1, 2020",NM,Shut down or restricted
Outdoor and recreation,State parks; Golf,Reopened,"May 1, 2020",NM,Shut down or restricted
Industries,"Manufacturing, distribution and construction businesses; Offices",Reopened,"May 1, 2020",OH,Shut down or restricted
Industries,"Manufacturing, distribution and construction businesses; Offices",Reopening soon,"May 1, 2020",OH,Shut down or restricted
Outdoor and recreation,"Golf courses, marinas, guided fishing trips, privately owned campgrounds",Reopened,"May 1, 2020",PA,Shut down or restricted
Industries,Some construction,Reopened,"May 1, 2020",VT,Shut down or restricted
Industries,Some construction,Reopened,"May 1, 2020",WA,Shut down or restricted
Outdoor and recreation,"Fishing, hunting, golfing, state parks",Reopening soon,"May 1, 2020",WA,Shut down or restricted
Outdoor and recreation,"Golfing; Recreational equipment rentals, including boats, golf carts and kayaks; State parks",Reopened,"May 1, 2020",WI,Shut down or restricted
Food and drink,Restaurant dining,Reopened,"April 30, 2020",AK,Reopening
Retail and beauty,"Retail stores; Hair salons, barbershops, nail salons etc.",Reopened,"April 30, 2020",AK,Reopening
Retail and beauty,Retail stores open to curbside pickup,Reopened,"April 30, 2020",CO,Reopening
Retail and beauty,Salons and personal services,Reopening soon,"April 30, 2020",CO,Reopening
Industries,Offices,Reopening soon,"April 30, 2020",CO,Reopening
Outdoor and recreation,Gyms,Reopened,"April 30, 2020",GA,Reopening
Entertainment,Bowling alleys; Theaters and private social clubs,Reopened,"April 30, 2020",GA,Reopening
Retail and beauty,"Hair salons, barbershops, etc.",Reopened,"April 30, 2020",GA,Reopening
Food and drink,Restaurant dining,Reopened,"April 30, 2020",GA,Reopening
Industries,Industrial and manufacturing businesses; Offices,Reopened,"April 30, 2020",MN,Reopening
Retail and beauty,Retail stores open to curbside pickup,Reopening soon,"April 30, 2020",MN,Reopening
Retail and beauty,Retail stores,Reopened,"April 30, 2020",MS,Reopening
Houses of worship,,Reopened,"April 30, 2020",MT,Reopening
Retail and beauty,Shopping centers,Reopened,"April 30, 2020",MT,Reopening
Food and drink,"Restaurant dining, bars, breweries and distilleries",Reopening soon,"April 30, 2020",MT,Reopening
Retail and beauty,"Salons, barbers, pet groomers, etc.",Reopened,"April 30, 2020",OK,Reopening
Outdoor and recreation,State parks,Reopened,"April 30, 2020",OK,Reopening
Food and drink,Restaurant dining,Reopening soon,"April 30, 2020",OK,Reopening
Outdoor and recreation,"Movie theaters, gyms and sporting venues",Reopening soon,"April 30, 2020",OK,Reopening
Houses of worship,,Reopening soon,"April 30, 2020",OK,Reopening
Retail and beauty,Tattoo parlors,Reopening soon,"April 30, 2020",OK,Reopening
Outdoor and recreation,"Beaches, piers, docks, etc.",Reopened,"April 30, 2020",SC,Reopening
Retail and beauty,Retail stores,Reopened,"April 30, 2020",SC,Reopening
Outdoor and recreation,State parks,Reopened,"April 30, 2020",TN,Reopening
Food and drink,Restaurant dining in most counties,Reopened,"April 30, 2020",TN,Reopening
Retail and beauty,Retail stores in most counties,Reopened,"April 30, 2020",TN,Reopening
Outdoor and recreation,Gyms in most counties,Reopening soon,"April 30, 2020",TN,Reopening
Retail and beauty,"Salons, barbers, etc. in most counties",Reopening soon,"April 30, 2020",TN,Reopening
Outdoor and recreation,Beaches,Reopened,"April 30, 2020",AL,Order Lifting or Reopening in the Next Week
Retail and beauty,Retail stores,Reopened,"April 30, 2020",AL,Order Lifting or Reopening in the Next Week
Food and drink,Restaurant dining,Reopened,"April 30, 2020",FL,Order Lifting or Reopening in the Next Week
Retail and beauty,Retail stores,Reopened,"April 30, 2020",FL,Order Lifting or Reopening in the Next Week
Food and drink,Restaurant dining,Reopening soon,"April 30, 2020",FL,Order Lifting or Reopening in the Next Week
Retail and beauty,Retail stores,Reopening soon,"April 30, 2020",FL,Order Lifting or Reopening in the Next Week
Houses of worship,,Reopened,"April 30, 2020",ID,Order Lifting or Reopening in the Next Week
Houses of worship,,Reopening soon,"April 30, 2020",ID,Order Lifting or Reopening in the Next Week
Food and drink,Restaurant dining in certain counties,Reopened,"April 30, 2020",IA,Order Lifting or Reopening in the Next Week
Outdoor and recreation,Gyms,Reopened,"April 30, 2020",IA,Order Lifting or Reopening in the Next Week
Retail and beauty,Malls and other retail stores in certain counties,Reopened,"April 30, 2020",IA,Order Lifting or Reopening in the Next Week
Entertainment,Libraries in certain counties,Reopened,"April 30, 2020",IA,Order Lifting or Reopening in the Next Week
Food and drink,Restaurant dining in certain counties,Reopening soon,"April 30, 2020",IA,Order Lifting or Reopening in the Next Week
Outdoor and recreation,Gyms,Reopening soon,"April 30, 2020",IA,Order Lifting or Reopening in the Next Week
Retail and beauty,Malls and other retail stores in certain counties,Reopening soon,"April 30, 2020",IA,Order Lifting or Reopening in the Next Week
Entertainment,Libraries in certain counties,Reopening soon,"April 30, 2020",IA,Order Lifting or Reopening in the Next Week
Retail and beauty,"Salons, barbershops, pet groomers",Reopened,"April 30, 2020",ME,Order Lifting or Reopening in the Next Week
Outdoor and recreation,"State parks; Hunting, fishing, limited golfing",Reopened,"April 30, 2020",ME,Order Lifting or Reopening in the Next Week
Retail and beauty,"Salons, barbershops, pet groomers",Reopening soon,"April 30, 2020",ME,Order Lifting or Reopening in the Next Week
Outdoor and recreation,"State parks; Hunting, fishing, limited golfing",Reopening soon,"April 30, 2020",ME,Order Lifting or Reopening in the Next Week
Food and drink,Restaurant dining,Reopened,"April 30, 2020",MO,Order Lifting or Reopening in the Next Week
Retail and beauty,"Salons, barbers, tattoo parlors etc.",Reopened,"April 30, 2020",MO,Order Lifting or Reopening in the Next Week
Food and drink,Restaurant dining,Reopening soon,"April 30, 2020",MO,Order Lifting or Reopening in the Next Week
Retail and beauty,"Salons, barbers, tattoo parlors etc.",Reopening soon,"April 30, 2020",MO,Order Lifting or Reopening in the Next Week
Houses of worship,,Reopened,"April 30, 2020",NE,Order Lifting or Reopening in the Next Week
Retail and beauty,"Salons, barbershops, tattoo parlors, etc. in certain areas",Reopened,"April 30, 2020",NE,Order Lifting or Reopening in the Next Week
Food and drink,Restaurant dining in certain areas,Reopened,"April 30, 2020",NE,Order Lifting or Reopening in the Next Week
Houses of worship,,Reopening soon,"April 30, 2020",NE,Order Lifting or Reopening in the Next Week
Retail and beauty,"Salons, barbershops, tattoo parlors, etc. in certain areas",Reopening soon,"April 30, 2020",NE,Order Lifting or Reopening in the Next Week
Food and drink,Restaurant dining in certain areas,Reopening soon,"April 30, 2020",NE,Order Lifting or Reopening in the Next Week
Food and drink,"Restaurant dining, bars",Reopened,"April 30, 2020",ND,Order Lifting or Reopening in the Next Week
Outdoor and recreation,Gyms,Reopened,"April 30, 2020",ND,Order Lifting or Reopening in the Next Week
Retail and beauty,"Salons, tattoo parlors, massage therapy, etc.",Reopened,"April 30, 2020",ND,Order Lifting or Reopening in the Next Week
Entertainment,Movie theaters,Reopened,"April 30, 2020",ND,Order Lifting or Reopening in the Next Week
Food and drink,"Restaurant dining, bars",Reopening soon,"April 30, 2020",ND,Order Lifting or Reopening in the Next Week
